Size,1_process,4_processes,8_processes,12_processes,speedup_4vs1,speedup_8vs1,speedup_12vs1
100,2.83,1.18,1.17,1.41,2.398305084745763,2.418803418803419,2.0070921985815606
200,22.08,6.33,4.08,3.98,3.488151658767772,5.411764705882352,5.547738693467337
300,74.66,19.69,11.48,9.6,3.7917724733367186,6.503484320557491,7.777083333333334
400,178.14,46.33,26.06,25.19,3.845024821929635,6.835763622409823,7.071853910281857
500,347.73,89.22,49.46,42.59,3.8974445191661067,7.030529720986656,8.164592627377319
600,599.59,153.45,82.7,64.03,3.907396546106224,7.250181378476421,9.364204279244104
700,956.06,248.69,133.6,113.45,3.844384575173911,7.156137724550898,8.42714852357867
800,1438.02,374.0,221.0,213.3,3.8449732620320853,6.506877828054298,6.741772151898734
900,2040.34,610.27,350.03,322.0,3.3433398331885886,5.8290432248664406,6.336459627329193
1000,2857.56,820.25,570.28,485.45,3.4837671441633646,5.010801711439995,5.886414666803996
1100,3843.22,1136.34,772.49,672.93,3.3821039477621135,4.975106473870212,5.711173524735114
1200,5079.63,1559.79,1095.23,929.44,3.2566114669282404,4.637957324032395,5.4652586503701155
1300,6819.4,2199.82,1378.12,1123.82,3.0999809075287974,4.948335413461818,6.068053602890142
1400,8403.74,2603.99,1676.81,1395.83,3.22725509698578,5.011742534932401,6.020604228308605
1500,10371.67,3293.41,2127.1,1837.33,3.1492191983385003,4.875967279394481,5.644968514093821
1600,12741.0,4054.21,2621.59,2256.21,3.142659112379477,4.8600276931175355,5.647080723868789
1700,15042.8,4921.72,3123.17,2679.5,3.0564111733296486,4.816516552092906,5.614032468744169
1800,18795.08,5823.75,3782.89,3391.28,3.2273157329899123,4.968444760487353,5.54217876436036
1900,23550.8,7166.89,4541.02,3977.68,3.2860557368677346,5.186235691540666,5.920737716457835
2000,29161.0,8694.55,5534.3,4610.3,3.3539401119091847,5.26913972860163,6.325184912044769
