matrix_size,block_size,run,gpu_time
1000,4,1,0.10504
1000,4,2,0.0842536
1000,4,3,0.0828651
1000,4,4,0.0888667
1000,4,5,0.0871943
2000,4,1,0.14495
2000,4,2,0.138094
2000,4,3,0.12364
2000,4,4,0.132195
2000,4,5,0.13175
3000,4,1,0.400126
3000,4,2,0.39397
3000,4,3,0.395666
3000,4,4,0.395925
3000,4,5,0.404925
4000,4,1,0.726616
4000,4,2,0.794261
4000,4,3,0.771637
4000,4,4,0.727338
4000,4,5,0.735713
5000,4,1,1.61869
5000,4,2,1.62419
5000,4,3,1.65264
5000,4,4,1.68918
5000,4,5,1.66196
1000,8,1,0.0896589
1000,8,2,0.0913561
1000,8,3,0.0905195
1000,8,4,0.0831138
1000,8,5,0.0832332
2000,8,1,0.126822
2000,8,2,0.122255
2000,8,3,0.116959
2000,8,4,0.118928
2000,8,5,0.119596
3000,8,1,0.273974
3000,8,2,0.294858
3000,8,3,0.304034
3000,8,4,0.293213
3000,8,5,0.28785
4000,8,1,0.541502
4000,8,2,0.498063
4000,8,3,0.520665
4000,8,4,0.519761
4000,8,5,0.510594
5000,8,1,0.922857
5000,8,2,0.935689
5000,8,3,0.989005
5000,8,4,0.930724
5000,8,5,0.940437
1000,16,1,0.0834384
1000,16,2,0.0828177
1000,16,3,0.0900739
1000,16,4,0.0861736
1000,16,5,0.0842253
2000,16,1,0.117544
2000,16,2,0.120074
2000,16,3,0.116705
2000,16,4,0.106895
2000,16,5,0.114903
3000,16,1,0.171504
3000,16,2,0.208617
3000,16,3,0.181576
3000,16,4,0.254814
3000,16,5,0.193491
4000,16,1,0.267415
4000,16,2,0.276385
4000,16,3,0.273542
4000,16,4,0.270889
4000,16,5,0.273464
5000,16,1,0.431464
5000,16,2,0.437787
5000,16,3,0.43759
5000,16,4,0.43795
5000,16,5,0.443903
1000,32,1,0.0821569
1000,32,2,0.0933374
1000,32,3,0.0886535
1000,32,4,0.089172
1000,32,5,0.0864547
2000,32,1,0.108562
2000,32,2,0.108425
2000,32,3,0.124099
2000,32,4,0.109493
2000,32,5,0.115372
3000,32,1,0.193729
3000,32,2,0.198104
3000,32,3,0.191527
3000,32,4,0.162233
3000,32,5,0.193202
4000,32,1,0.291748
4000,32,2,0.289973
4000,32,3,0.289242
4000,32,4,0.293133
4000,32,5,0.302881
5000,32,1,0.462489
5000,32,2,0.451651
5000,32,3,0.423235
5000,32,4,0.442427
5000,32,5,0.413382
